"fips_county","county_name","cases_asd","pop","prevalence_asd","prevalence_asd_ci","map_category"
"04001","Apache","180","20572","0.87497569511958","0.9 (0.8-1.0)","1%"
"04003","Cochise","687","29634","2.31828305324965","2.3 (2.2-2.5)","2%"
"04005","Coconino","451","42872","1.0519686508677","1.1 (1.0-1.2)","1%"
"04007","Gila","209","11004","1.89930934205743","1.9 (1.7-2.2)","2%"
"04009","Graham","189","10974","1.72225259704757","1.7 (1.5-2.0)","2%"
"04011","Greenlee","37","2599","1.42362447095037","1.4 (1.0-2.0)","1%"
"04012","La Paz","66","3645","1.81069958847737","1.8 (1.4-2.3)","2%"
"04013","Maricopa","24867","1113694","2.23283954120252","2.2 (2.2-2.3)","2%"
"04015","Mohave","936","37323","2.50783699059561","2.5 (2.4-2.7)","3%"
"04017","Navajo","386","30297","1.27405353665379","1.3 (1.2-1.4)","1%"
"04019","Pima","4862","251442","1.93364672568624","1.9 (1.9-2.0)","2%"
"04021","Pinal","2658","106125","2.50459363957597","2.5 (2.4-2.6)","3%"
"04023","Santa Cruz","162","13150","1.2319391634981","1.2 (1.1-1.4)","1%"
"04025","Yavapai","809","40962","1.97500122064352","2.0 (1.8-2.1)","2%"
"04027","Yuma","1193","57662","2.06895355693524","2.1 (2.0-2.2)","2%"
"05001","Arkansas","73","4045","1.80469715698393","1.8 (1.4-2.3)","2%"
"05003","Ashley","64","4717","1.35679457282171","1.4 (1.1-1.7)","1%"
"05005","Baxter","139","7564","1.83765203595981","1.8 (1.6-2.2)","2%"
"05007","Benton","1850","72722","2.54393443524656","2.5 (2.4-2.7)","3%"
"05009","Boone","143","8634","1.65624276117674","1.7 (1.4-1.9)","2%"
"05011","Bradley","48","2640","1.81818181818182","1.8 (1.4-2.4)","2%"
"05013","Calhoun",,"1071",,"NA","suppressed"
"05015","Carroll","75","6279","1.19445771619685","1.2 (1.0-1.5)","1%"
"05017","Chicot","16","2417","0.661977658254034","0.7 (0.4-1.1)","1%"
"05019","Clark","54","7048","0.766174801362088","0.8 (0.6-1.0)","1%"
"05021","Clay","43","3251","1.3226699477084","1.3 (1.0-1.8)","1%"
"05023","Cleburne","67","4975","1.34673366834171","1.3 (1.1-1.7)","1%"
"05025","Cleveland","22","1842","1.1943539630836","1.2 (0.8-1.8)","1%"
"05027","Columbia","74","6944","1.06566820276498","1.1 (0.8-1.3)","1%"
"05029","Conway","71","4824","1.47180762852405","1.5 (1.2-1.9)","1%"
"05031","Craighead","458","29413","1.55713460034679","1.6 (1.4-1.7)","2%"
"05033","Crawford","196","16056","1.22072745391131","1.2 (1.1-1.4)","1%"
"05035","Crittenden","142","13258","1.07105144063961","1.1 (0.9-1.3)","1%"
"05037","Cross","56","3971","1.41022412490557","1.4 (1.1-1.8)","1%"
"05039","Dallas","19","1596","1.19047619047619","1.2 (0.8-1.9)","1%"
"05041","Desha","34","2987","1.13826581854704","1.1 (0.8-1.6)","1%"
"05043","Drew","52","4820","1.07883817427386","1.1 (0.8-1.4)","1%"
"05045","Faulkner","547","35181","1.55481652028083","1.6 (1.4-1.7)","2%"
"05047","Franklin","38","4333","0.876990537733672","0.9 (0.6-1.2)","1%"
"05049","Fulton","24","2629","0.912894636744009","0.9 (0.6-1.4)","1%"
"05051","Garland","372","20713","1.79597354318544","1.8 (1.6-2.0)","2%"
"05053","Grant","90","4236","2.12464589235127","2.1 (1.7-2.6)","2%"
"05055","Greene","136","11333","1.20003529515574","1.2 (1.0-1.4)","1%"
"05057","Hempstead","57","5655","1.0079575596817","1.0 (0.8-1.3)","1%"
"05059","Hot Spring","134","7308","1.8336070060208","1.8 (1.6-2.2)","2%"
"05061","Howard","45","3510","1.28205128205128","1.3 (1.0-1.7)","1%"
"05063","Independence","108","9628","1.12172829248027","1.1 (0.9-1.4)","1%"
"05065","Izard","22","2581","0.852382797365362","0.9 (0.6-1.3)","1%"
"05067","Jackson","55","3394","1.6205067766647","1.6 (1.2-2.1)","2%"
"05069","Jefferson","201","16754","1.19971350125343","1.2 (1.0-1.4)","1%"
"05071","Johnson","82","7111","1.15314301785965","1.2 (0.9-1.4)","1%"
"05073","Lafayette","16","1301","1.22982321291314","1.2 (0.8-2.0)","1%"
"05075","Lawrence","60","3983","1.50640220938991","1.5 (1.2-1.9)","2%"
"05077","Lee","13","1720","0.755813953488372","0.8 (0.4-1.3)","1%"
"05079","Lincoln","18","2623","0.686237133053755","0.7 (0.4-1.1)","1%"
"05081","Little River","43","2790","1.54121863799283","1.5 (1.1-2.1)","2%"
"05083","Logan","60","4829","1.24249326982812","1.2 (1.0-1.6)","1%"
"05085","Lonoke","432","19259","2.24310711874968","2.2 (2.0-2.5)","2%"
"05087","Madison","44","3857","1.14078299196267","1.1 (0.9-1.5)","1%"
"05089","Marion","26","3072","0.846354166666667","0.8 (0.6-1.2)","1%"
"05091","Miller","149","10500","1.41904761904762","1.4 (1.2-1.7)","1%"
"05093","Mississippi","112","11037","1.01476850593458","1.0 (0.8-1.2)","1%"
"05095","Monroe","16","1463","1.09364319890636","1.1 (0.7-1.8)","1%"
"05097","Montgomery","27","1722","1.56794425087108","1.6 (1.1-2.3)","2%"
"05099","Nevada","22","1926","1.14226375908619","1.1 (0.8-1.7)","1%"
"05101","Newton","14","1556","0.89974293059126","0.9 (0.5-1.5)","1%"
"05103","Ouachita","75","5502","1.36314067611778","1.4 (1.1-1.7)","1%"
"05105","Perry","29","2367","1.22517955217575","1.2 (0.9-1.8)","1%"
"05107","Phillips","48","4676","1.02651839178785","1.0 (0.8-1.4)","1%"
"05109","Pike","35","2435","1.43737166324435","1.4 (1.0-2.0)","1%"
"05111","Poinsett","66","5795","1.13891285591027","1.1 (0.9-1.4)","1%"
"05113","Polk","70","4735","1.47835269271383","1.5 (1.2-1.9)","1%"
"05115","Pope","303","17107","1.7712047699772","1.8 (1.6-2.0)","2%"
"05117","Prairie","26","1671","1.55595451825254","1.6 (1.1-2.3)","2%"
"05119","Pulaski","2032","93277","2.17845771197616","2.2 (2.1-2.3)","2%"
"05121","Randolph","75","4293","1.74703004891684","1.7 (1.4-2.2)","2%"
"05123","St. Francis","54","5558","0.971572508096438","1.0 (0.7-1.3)","1%"
"05125","Saline","526","28884","1.82107741310068","1.8 (1.7-2.0)","2%"
